"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Database\assignments.json", "JSON", 0, 0, 0, 11, 0, 0, 11
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Database\courses.json", "JSON", 0, 0, 0, 84, 0, 0, 84
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Database\enrollments.json", "JSON", 0, 0, 0, 6, 0, 0, 6
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Database\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Database\modules.json", "JSON", 0, 0, 0, 206, 0, 5, 211
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Database\users.json", "JSON", 0, 0, 0, 128, 0, 0, 128
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Inbox\page.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\Navigation.tsx", "TypeScript JSX", 0, 43, 0, 0, 42, 3, 88
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\layout.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 2, 23
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\store.ts", "TypeScript", 15, 0, 0, 0, 2, 1, 18
"c:\Users\Sheeran\Desktop\Univ\Courses\5610_web_development\2049\winter\webdev\kambaz-next-js\src\app\(Kambaz)\style.css", "PostCSS", 0, 0, 33, 0, 0, 7, 40
"Total", "-", 156, 1275, 50, 435, 321, 153, 2390
